Implementation,DatasetSize,BatchNumber,Timestamp,TotalMemoryMB,MemoryPerRecord,RecordsProcessed,GCCount,GCTimeMs,HeapUsageMB,InsertionTimeMs
BPlusTree,10000,1,1731660626720,2.90,3045.05,1000,2,2,2.44,95
BPlusTree,10000,2,1731660626754,4.00,2099.42,2000,4,6,3.53,33
BPlusTree,10000,3,1731660626790,8.62,3013.91,3000,5,8,7.92,35
BPlusTree,10000,4,1731660626819,16.62,4357.59,4000,5,8,15.92,29
BPlusTree,10000,5,1731660626845,24.62,5163.79,5000,5,8,23.92,26
BPlusTree,10000,6,1731660626870,32.62,5701.26,6000,5,8,31.92,25
BPlusTree,10000,7,1731660626893,40.62,6085.17,7000,5,8,39.92,23
BPlusTree,10000,8,1731660626916,48.62,6373.10,8000,5,8,47.92,23
BPlusTree,10000,9,1731660626940,56.62,6597.04,9000,5,8,55.92,24
BPlusTree,10000,10,1731660626967,64.62,6776.20,10000,5,8,63.92,27
BPlusTreeCache,10000,1,1731660627994,7.46,7818.25,1000,0,0,14.50,17
BPlusTreeCache,10000,2,1731660628010,15.27,8003.58,2000,0,0,22.50,15
BPlusTreeCache,10000,3,1731660628023,23.27,8131.91,3000,0,0,30.50,13
BPlusTreeCache,10000,4,1731660628042,6.86,1797.89,4000,1,2,14.14,19
BPlusTreeCache,10000,5,1731660628055,14.39,3017.23,5000,1,2,22.14,12
BPlusTreeCache,10000,6,1731660628068,22.39,3912.45,6000,1,2,30.14,13
BPlusTreeCache,10000,7,1731660628085,8.90,1333.18,7000,2,6,17.10,17
BPlusTreeCache,10000,8,1731660628096,16.90,2215.13,8000,2,6,25.10,11
BPlusTreeCache,10000,9,1731660628109,24.90,2901.08,9000,2,6,33.10,13
BPlusTreeCache,10000,10,1731660628128,11.64,1221.04,10000,3,12,20.31,18
SkipList,10000,1,1731660629250,7.31,7669.62,1000,2,2,24.48,93
SkipList,10000,2,1731660629338,57.07,29923.30,2000,3,5,73.10,87
SkipList,10000,3,1731660629449,143.08,50008.73,3000,3,5,161.10,110
SkipList,10000,4,1731660629549,67.20,17615.99,4000,4,7,83.22,99
SkipList,10000,5,1731660629632,163.20,34225.45,5000,4,7,179.22,83
SkipList,10000,6,1731660629715,91.32,15959.06,6000,5,10,109.34,82
SkipList,10000,7,1731660629801,25.37,3800.06,7000,6,13,43.39,86
SkipList,10000,8,1731660629883,125.37,16432.25,8000,6,13,143.39,81
SkipList,10000,9,1731660629969,59.53,6936.06,9000,7,17,77.55,86
SkipList,10000,10,1731660630061,161.53,16937.72,10000,7,17,177.55,91
SkipHash,10000,1,1731660631185,65.59,68778.99,1000,0,0,93.94,96
SkipHash,10000,2,1731660631277,62.60,32818.92,2000,1,1,92.13,91
SkipHash,10000,3,1731660631353,12.15,4247.85,3000,2,3,41.69,76
SkipHash,10000,4,1731660631431,98.15,25729.76,4000,2,3,125.69,77
SkipHash,10000,5,1731660631508,55.86,11715.21,5000,3,6,83.40,76
SkipHash,10000,6,1731660631586,17.76,3103.31,6000,4,9,45.29,77
SkipHash,10000,7,1731660631660,105.76,15842.08,7000,4,9,133.29,74
SkipHash,10000,8,1731660631736,69.66,9130.42,8000,5,13,99.19,75
SkipHash,10000,9,1731660631818,37.57,4377.28,9000,6,18,65.10,82
SkipHash,10000,10,1731660631898,127.57,13376.94,10000,6,18,157.10,78
HashMap,10000,1,1731660632933,8.00,8390.66,1000,0,0,49.01,8
HashMap,10000,2,1731660632940,16.00,8389.63,2000,0,0,57.01,6
HashMap,10000,3,1731660632946,24.00,8389.33,3000,0,0,65.01,5
HashMap,10000,4,1731660632952,32.00,8389.12,4000,0,0,73.01,6
HashMap,10000,5,1731660632959,40.00,8389.02,5000,0,0,81.01,6
HashMap,10000,6,1731660632966,48.00,8388.96,6000,0,0,89.01,7
HashMap,10000,7,1731660632973,56.00,8388.90,7000,0,0,97.01,7
HashMap,10000,8,1731660632978,64.00,8388.86,8000,0,0,105.01,5
HashMap,10000,9,1731660632984,72.00,8388.84,9000,0,0,113.01,5
HashMap,10000,10,1731660632992,80.00,8388.81,10000,0,0,121.01,7
BPlusTree,100000,1,1731660636150,76.00,7969.38,10000,0,0,120.10,94
BPlusTree,100000,2,1731660636255,66.31,3476.56,20000,1,6,109.53,104
