Implementation,DatasetSize,FinalMemoryMB,AverageMemoryPerRecord,TotalGCCount,TotalGCTimeMs,TotalInsertionTimeMs,AverageInsertionTimeMs
BPlusTree,10000,64.62,4921.25,5,8,340,34.00
SkipList,10000,161.53,19950.82,7,17,898,89.80
SkipHash,10000,127.57,18912.08,6,18,802,80.20
HashMap,10000,80.00,8389.21,0,0,62,6.20
BPlusTree,100000,161.06,2783.35,8,82,1201,120.10
SkipList,100000,394.88,9261.11,19,272,11194,1119.40
SkipHash,100000,481.82,12458.64,12,210,9771,977.10
HashMap,100000,804.00,8408.48,0,0,564,56.40
BPlusTree,1000000,1841.34,2449.65,13,748,15342,153.42
SkipList,1000000,1358.67,4979.03,156,7172,146288,1462.88
SkipHash,1000000,1450.76,4530.80,201,6848,128024,1280.24
HashMap,1000000,1970.00,3822.20,5,765,7357,73.57
