Timestamp,EngineType,QueryCount,QueryType,AverageExecutionTime,TotalExecutionTime,SuccessRate
2024-11-15T21:15:11.8063349,BPlusTreeArrayEngine,1253,INSERT,0.02,19.57,100.00
2024-11-15T21:15:11.8063349,BPlusTreeArrayEngine,1207,SIMPLE_SELECT,0.05,58.71,100.00
2024-11-15T21:15:11.8063349,BPlusTreeArrayEngine,1240,UPDATE,0.00,5.22,100.00
2024-11-15T21:15:11.8063349,BPlusTreeArrayEngine,1284,DELETE,0.00,4.00,100.00
2024-11-15T21:15:11.8063349,BPlusTreeArrayEngine,1240,RANGE_SELECT,0.04,45.46,100.00
2024-11-15T21:15:11.8063349,BPlusTreeArrayEngine,1269,EQUALS_SELECT,0.01,15.24,100.00
2024-11-15T21:15:11.8063349,BPlusTreeArrayEngine,1272,RANGE_UPDATE,0.06,77.18,100.00
2024-11-15T21:15:11.8063349,BPlusTreeArrayEngine,1235,EQUALS_UPDATE,0.02,27.54,100.00
2024-11-15T21:15:12.3544594,BPlusTreeArrayEngine,2516,INSERT,0.02,49.60,100.00
2024-11-15T21:15:12.3544594,BPlusTreeArrayEngine,2509,SIMPLE_SELECT,0.08,212.40,100.00
2024-11-15T21:15:12.3544594,BPlusTreeArrayEngine,2497,UPDATE,0.00,11.71,100.00
2024-11-15T21:15:12.3544594,BPlusTreeArrayEngine,2523,DELETE,0.00,8.49,100.00
2024-11-15T21:15:12.3544594,BPlusTreeArrayEngine,2429,RANGE_SELECT,0.05,132.69,100.00
2024-11-15T21:15:12.3544594,BPlusTreeArrayEngine,2533,EQUALS_SELECT,0.02,42.93,100.00
2024-11-15T21:15:12.3544594,BPlusTreeArrayEngine,2512,RANGE_UPDATE,0.10,251.11,100.00
2024-11-15T21:15:12.3544594,BPlusTreeArrayEngine,2481,EQUALS_UPDATE,0.04,90.54,100.00
2024-11-15T21:15:13.232272,BPlusTreeArrayEngine,3723,INSERT,0.02,87.32,100.00
2024-11-15T21:15:13.232272,BPlusTreeArrayEngine,3765,SIMPLE_SELECT,0.12,438.12,100.00
2024-11-15T21:15:13.232272,BPlusTreeArrayEngine,3741,UPDATE,0.00,17.81,100.00
