Timestamp,EngineType,QueryCount,QueryType,AverageExecutionTime,TotalExecutionTime,SuccessRate
2024-11-15T21:14:54.0776639,BPlusTreeArrayEngine,1253,INSERT,0.02,27.05,100.00
2024-11-15T21:14:54.0776639,BPlusTreeArrayEngine,1207,SIMPLE_SELECT,0.05,62.55,100.00
2024-11-15T21:14:54.0776639,BPlusTreeArrayEngine,1240,UPDATE,0.01,6.75,100.00
2024-11-15T21:14:54.0776639,BPlusTreeArrayEngine,1284,DELETE,0.00,5.86,100.00
2024-11-15T21:14:54.0776639,BPlusTreeArrayEngine,1240,RANGE_SELECT,0.05,58.74,100.00
2024-11-15T21:14:54.0776639,BPlusTreeArrayEngine,1269,EQUALS_SELECT,0.02,21.02,100.00
2024-11-15T21:14:54.0776639,BPlusTreeArrayEngine,1272,RANGE_UPDATE,0.10,131.97,100.00
2024-11-15T21:14:54.0776639,BPlusTreeArrayEngine,1235,EQUALS_UPDATE,0.04,47.24,100.00
2024-11-15T21:14:54.6017803,BPlusTreeArrayEngine,2516,INSERT,0.02,60.42,100.00
2024-11-15T21:14:54.6017803,BPlusTreeArrayEngine,2509,SIMPLE_SELECT,0.07,173.74,100.00
2024-11-15T21:14:54.6017803,BPlusTreeArrayEngine,2497,UPDATE,0.01,13.14,100.00
2024-11-15T21:14:54.6017803,BPlusTreeArrayEngine,2523,DELETE,0.00,10.85,100.00
2024-11-15T21:14:54.6017803,BPlusTreeArrayEngine,2429,RANGE_SELECT,0.06,148.23,100.00
2024-11-15T21:14:54.6017803,BPlusTreeArrayEngine,2533,EQUALS_SELECT,0.02,50.72,100.00
2024-11-15T21:14:54.6017803,BPlusTreeArrayEngine,2512,RANGE_UPDATE,0.12,312.10,100.00
2024-11-15T21:14:54.6017803,BPlusTreeArrayEngine,2481,EQUALS_UPDATE,0.05,115.27,100.00
2024-11-15T21:14:55.4448084,BPlusTreeArrayEngine,3723,INSERT,0.03,100.73,100.00
2024-11-15T21:14:55.4448084,BPlusTreeArrayEngine,3765,SIMPLE_SELECT,0.09,345.04,100.00
2024-11-15T21:14:55.4448084,BPlusTreeArrayEngine,3741,UPDATE,0.01,19.84,100.00
2024-11-15T21:14:55.4448084,BPlusTreeArrayEngine,3797,DELETE,0.00,15.96,100.00
2024-11-15T21:14:55.4448084,BPlusTreeArrayEngine,3769,RANGE_SELECT,0.08,308.10,100.00
2024-11-15T21:14:55.4448084,BPlusTreeArrayEngine,3730,EQUALS_SELECT,0.02,89.87,100.00
2024-11-15T21:14:55.4448084,BPlusTreeArrayEngine,3787,RANGE_UPDATE,0.17,626.27,100.00
2024-11-15T21:14:55.4448084,BPlusTreeArrayEngine,3688,EQUALS_UPDATE,0.06,220.76,100.00
2024-11-15T21:14:56.5412507,BPlusTreeArrayEngine,5041,INSERT,0.03,156.19,100.00
2024-11-15T21:14:56.5412507,BPlusTreeArrayEngine,4967,SIMPLE_SELECT,0.12,573.12,100.00
