Timestamp,EngineType,QueryCount,QueryType,AverageExecutionTime,TotalExecutionTime,SuccessRate
2024-11-15T21:14:12.0917487,BPlusTreeEngine,1253,INSERT,0.04,52.52,100.00
2024-11-15T21:14:12.0917487,BPlusTreeEngine,1207,SIMPLE_SELECT,0.10,126.49,100.00
2024-11-15T21:14:12.0917487,BPlusTreeEngine,1240,UPDATE,0.01,15.87,100.00
2024-11-15T21:14:12.0917487,BPlusTreeEngine,1284,DELETE,0.01,11.47,100.00
2024-11-15T21:14:12.0917487,BPlusTreeEngine,1240,RANGE_SELECT,0.09,116.88,100.00
2024-11-15T21:14:12.0917487,BPlusTreeEngine,1269,EQUALS_SELECT,0.03,37.51,100.00
2024-11-15T21:14:12.0917487,BPlusTreeEngine,1272,RANGE_UPDATE,0.17,213.92,100.00
2024-11-15T21:14:12.0917487,BPlusTreeEngine,1235,EQUALS_UPDATE,0.06,75.03,100.00
2024-11-15T21:14:12.8228126,BPlusTreeEngine,2516,INSERT,0.04,96.80,100.00
2024-11-15T21:14:12.8228126,BPlusTreeEngine,2509,SIMPLE_SELECT,0.11,287.11,100.00
2024-11-15T21:14:12.8228126,BPlusTreeEngine,2497,UPDATE,0.01,24.89,100.00
2024-11-15T21:14:12.8228126,BPlusTreeEngine,2523,DELETE,0.01,18.04,100.00
2024-11-15T21:14:12.8228126,BPlusTreeEngine,2429,RANGE_SELECT,0.10,236.32,100.00
2024-11-15T21:14:12.8228126,BPlusTreeEngine,2533,EQUALS_SELECT,0.03,84.33,100.00
2024-11-15T21:14:12.8228126,BPlusTreeEngine,2512,RANGE_UPDATE,0.18,456.80,100.00
2024-11-15T21:14:12.8228126,BPlusTreeEngine,2481,EQUALS_UPDATE,0.07,169.68,100.00
2024-11-15T21:14:13.8014665,BPlusTreeEngine,3723,INSERT,0.04,140.74,100.00
2024-11-15T21:14:13.8014665,BPlusTreeEngine,3765,SIMPLE_SELECT,0.13,489.46,100.00
2024-11-15T21:14:13.8014665,BPlusTreeEngine,3741,UPDATE,0.01,31.75,100.00
2024-11-15T21:14:13.8014665,BPlusTreeEngine,3797,DELETE,0.01,23.98,100.00
2024-11-15T21:14:13.8014665,BPlusTreeEngine,3769,RANGE_SELECT,0.11,414.04,100.00
2024-11-15T21:14:13.8014665,BPlusTreeEngine,3730,EQUALS_SELECT,0.04,131.45,100.00
2024-11-15T21:14:13.8014665,BPlusTreeEngine,3787,RANGE_UPDATE,0.22,825.44,100.00
2024-11-15T21:14:13.8014665,BPlusTreeEngine,3688,EQUALS_UPDATE,0.08,291.91,100.00
2024-11-15T21:14:15.0859054,BPlusTreeEngine,5041,INSERT,0.04,199.62,100.00
2024-11-15T21:14:15.0859054,BPlusTreeEngine,4967,SIMPLE_SELECT,0.15,764.06,100.00
2024-11-15T21:14:15.0859054,BPlusTreeEngine,5010,UPDATE,0.01,38.71,100.00
2024-11-15T21:14:15.0859054,BPlusTreeEngine,5069,DELETE,0.01,29.65,100.00
2024-11-15T21:14:15.0859054,BPlusTreeEngine,5001,RANGE_SELECT,0.13,640.94,100.00
2024-11-15T21:14:15.0859054,BPlusTreeEngine,4984,EQUALS_SELECT,0.04,191.61,100.00
2024-11-15T21:14:15.0859054,BPlusTreeEngine,5008,RANGE_UPDATE,0.26,1304.25,100.00
2024-11-15T21:14:15.0859054,BPlusTreeEngine,4920,EQUALS_UPDATE,0.09,460.91,100.00
2024-11-15T21:14:16.7793466,BPlusTreeEngine,6315,INSERT,0.04,275.76,100.00
2024-11-15T21:14:16.7793466,BPlusTreeEngine,6186,SIMPLE_SELECT,0.19,1154.01,100.00
2024-11-15T21:14:16.7793466,BPlusTreeEngine,6234,UPDATE,0.01,45.71,100.00
2024-11-15T21:14:16.7793466,BPlusTreeEngine,6320,DELETE,0.01,35.36,100.00
2024-11-15T21:14:16.7793466,BPlusTreeEngine,6286,RANGE_SELECT,0.15,929.92,100.00
2024-11-15T21:14:16.7793466,BPlusTreeEngine,6221,EQUALS_SELECT,0.04,271.63,100.00
2024-11-15T21:14:16.7793466,BPlusTreeEngine,6244,RANGE_UPDATE,0.30,1900.04,100.00
2024-11-15T21:14:16.7793466,BPlusTreeEngine,6194,EQUALS_UPDATE,0.11,707.31,100.00
2024-11-15T21:14:18.9011549,BPlusTreeEngine,7593,INSERT,0.05,365.07,100.00
2024-11-15T21:14:18.9011549,BPlusTreeEngine,7385,SIMPLE_SELECT,0.22,1624.02,100.00
2024-11-15T21:14:18.9011549,BPlusTreeEngine,7504,UPDATE,0.01,53.45,100.00
2024-11-15T21:14:18.9011549,BPlusTreeEngine,7625,DELETE,0.01,41.63,100.00
2024-11-15T21:14:18.9011549,BPlusTreeEngine,7538,RANGE_SELECT,0.17,1281.11,100.00
2024-11-15T21:14:18.9011549,BPlusTreeEngine,7429,EQUALS_SELECT,0.05,369.04,100.00
2024-11-15T21:14:18.9011549,BPlusTreeEngine,7471,RANGE_UPDATE,0.36,2678.08,100.00
2024-11-15T21:14:18.9011549,BPlusTreeEngine,7455,EQUALS_UPDATE,0.14,1026.24,100.00
2024-11-15T21:14:21.2471494,BPlusTreeEngine,8924,INSERT,0.05,465.20,100.00
2024-11-15T21:14:21.2471494,BPlusTreeEngine,8660,SIMPLE_SELECT,0.25,2185.76,100.00
2024-11-15T21:14:21.2471494,BPlusTreeEngine,8792,UPDATE,0.01,60.80,100.00
2024-11-15T21:14:21.2471494,BPlusTreeEngine,8884,DELETE,0.01,47.00,100.00
2024-11-15T21:14:21.2471494,BPlusTreeEngine,8724,RANGE_SELECT,0.19,1658.11,100.00
