Implementation,DatasetSize,BatchNumber,Timestamp,TotalMemoryMB,MemoryPerRecord,RecordsProcessed,GCCount,GCTimeMs,HeapUsageMB,InsertionTimeMs
BPlusTree,10000,1,1731732548476,1.65,1731.99,1000,2,2,2.04,90
BPlusTree,10000,2,1731732548506,2.66,1396.82,2000,4,4,3.00,29
BPlusTree,10000,3,1731732548533,8.42,2943.52,3000,5,8,7.71,26
BPlusTree,10000,4,1731732548556,16.42,4304.79,4000,5,8,15.71,22
BPlusTree,10000,5,1731732548575,24.42,5121.55,5000,5,8,23.71,19
BPlusTree,10000,6,1731732548603,32.42,5666.06,6000,5,8,31.71,26
BPlusTree,10000,7,1731732548632,40.42,6055.00,7000,5,8,39.71,27
BPlusTree,10000,8,1731732548658,46.42,6084.30,8000,5,8,43.71,26
BPlusTree,10000,9,1731732548684,54.42,6340.33,9000,5,8,51.71,25
BPlusTree,10000,10,1731732548708,62.42,6545.16,10000,5,8,59.71,23
BPlusTreeCache,10000,1,1731732549750,7.87,8257.22,1000,0,0,18.03,18
BPlusTreeCache,10000,2,1731732549763,15.32,8031.55,2000,0,0,26.03,12
BPlusTreeCache,10000,3,1731732549779,23.32,8150.57,3000,0,0,34.03,15
BPlusTreeCache,10000,4,1731732549794,7.10,1861.46,4000,1,2,17.97,15
BPlusTreeCache,10000,5,1731732549806,14.62,3066.75,5000,1,2,25.97,12
BPlusTreeCache,10000,6,1731732549824,22.62,3953.72,6000,1,2,33.97,17
BPlusTreeCache,10000,7,1731732549839,9.08,1360.14,7000,2,6,16.90,14
BPlusTreeCache,10000,8,1731732549850,16.91,2216.10,8000,2,6,24.90,11
BPlusTreeCache,10000,9,1731732549861,24.91,2901.90,9000,2,6,32.90,10
BPlusTreeCache,10000,10,1731732549879,12.42,1302.64,10000,3,11,20.42,18
SkipList,10000,1,1731732551013,12.08,12669.34,1000,2,2,28.44,97
SkipList,10000,2,1731732551113,61.05,32010.33,2000,3,4,77.00,99
SkipList,10000,3,1731732551229,153.05,53496.55,3000,3,4,169.00,116
SkipList,10000,4,1731732551332,75.12,19692.32,4000,4,6,91.07,102
SkipList,10000,5,1731732551423,173.12,36306.36,5000,4,6,191.07,90
SkipList,10000,6,1731732551521,101.16,17679.18,6000,5,8,117.11,98
SkipList,10000,7,1731732551614,37.23,5577.31,7000,6,12,55.18,91
SkipList,10000,8,1731732551700,139.23,18249.24,8000,6,12,155.18,85
SkipList,10000,9,1731732551791,75.18,8759.66,9000,7,16,93.13,91
SkipList,10000,10,1731732551884,17.13,1795.70,10000,8,20,35.07,92
SkipHash,10000,1,1731732552968,22.32,23405.37,1000,0,0,49.92,60
SkipHash,10000,2,1731732553003,45.68,23949.94,2000,0,0,73.92,35
SkipHash,10000,3,1731732553029,68.00,23768.41,3000,0,0,97.92,25
SkipHash,10000,4,1731732553061,12.59,3300.65,4000,1,3,42.75,31
SkipHash,10000,5,1731732553086,35.15,7371.40,5000,1,3,62.75,23
SkipHash,10000,6,1731732553111,58.03,10141.57,6000,1,3,86.75,24
SkipHash,10000,7,1731732553138,11.02,1650.38,7000,2,8,41.18,26
SkipHash,10000,8,1731732553158,35.02,4589.82,8000,2,8,65.18,19
SkipHash,10000,9,1731732553176,57.58,6708.11,9000,2,8,85.18,18
SkipHash,10000,10,1731732553202,11.94,1252.38,10000,3,15,40.82,26
HashMap,10000,1,1731732554263,8.00,8390.71,1000,0,0,47.83,8
HashMap,10000,2,1731732554269,16.00,8389.62,2000,0,0,55.83,6
HashMap,10000,3,1731732554275,24.00,8389.30,3000,0,0,63.83,6
HashMap,10000,4,1731732554281,32.00,8389.15,4000,0,0,71.83,5
HashMap,10000,5,1731732554288,40.00,8389.03,5000,0,0,79.83,7
HashMap,10000,6,1731732554294,48.00,8388.95,6000,0,0,87.83,5
HashMap,10000,7,1731732554300,56.00,8388.90,7000,0,0,95.83,6
HashMap,10000,8,1731732554306,64.00,8388.87,8000,0,0,103.83,5
HashMap,10000,9,1731732554312,72.00,8388.84,9000,0,0,111.83,5
HashMap,10000,10,1731732554326,15.68,1644.42,10000,1,8,55.83,14
BPlusTree,100000,1,1731732557520,18.02,1889.18,10000,1,5,60.21,97
BPlusTree,100000,2,1731732557643,96.01,5033.93,20000,1,5,136.21,123
BPlusTree,100000,3,1731732557772,174.02,6082.32,30000,1,5,216.21,128
BPlusTree,100000,4,1731732557907,250.02,6554.04,40000,1,5,292.21,135
BPlusTree,100000,5,1731732558022,105.24,2207.06,50000,2,18,145.43,114
BPlusTree,100000,6,1731732558127,183.24,3202.40,60000,2,18,225.43,105
BPlusTree,100000,7,1731732558243,259.24,3883.37,70000,2,18,301.43,115
BPlusTree,100000,8,1731732558360,139.96,1834.45,80000,3,35,180.15,117
