Implementation,DatasetSize,FinalMemoryMB,AverageMemoryPerRecord,TotalGCCount,TotalGCTimeMs,TotalInsertionTimeMs,AverageInsertionTimeMs
BPlusTree,10000,62.42,4618.95,5,8,313,31.30
SkipList,10000,17.13,20623.60,8,20,961,96.10
SkipHash,10000,11.94,10613.80,3,15,287,28.70
HashMap,10000,15.68,7714.78,1,8,67,6.70
BPlusTree,100000,117.55,3443.55,4,51,1172,117.20
SkipList,100000,585.42,9570.43,19,258,10995,1099.50
SkipHash,100000,175.42,9049.37,4,93,1730,173.00
HashMap,100000,187.97,7762.52,1,35,648,64.80
BPlusTree,1000000,1334.00,2639.72,8,654,14478,144.78
SkipList,1000000,2912.60,6272.43,68,4861,147165,1471.65
SkipHash,1000000,1847.95,5344.98,13,1452,22903,229.03
HashMap,1000000,1430.00,3567.93,7,817,6804,68.04
