Timestamp,EngineType,QueryCount,QueryType,AverageExecutionTime,TotalExecutionTime,SuccessRate
2024-11-17T10:24:51.1329954,SkipHashEngine,1253,INSERT,0.08,96.99,100.00
2024-11-17T10:24:51.1329954,SkipHashEngine,1207,SIMPLE_SELECT,0.15,180.81,100.00
2024-11-17T10:24:51.1329954,SkipHashEngine,1240,UPDATE,0.02,30.52,100.00
2024-11-17T10:24:51.1329954,SkipHashEngine,1284,DELETE,0.02,25.19,99.45
2024-11-17T10:24:51.1329954,SkipHashEngine,1240,RANGE_SELECT,0.11,131.27,100.00
2024-11-17T10:24:51.1329954,SkipHashEngine,1269,EQUALS_SELECT,0.06,70.59,100.00
2024-11-17T10:24:51.1329954,SkipHashEngine,1272,RANGE_UPDATE,0.47,595.11,100.00
2024-11-17T10:24:51.1329954,SkipHashEngine,1235,EQUALS_UPDATE,0.34,415.18,100.00
2024-11-17T10:24:53.023521,SkipHashEngine,2516,INSERT,0.07,171.99,100.00
2024-11-17T10:24:53.023521,SkipHashEngine,2509,SIMPLE_SELECT,0.18,444.87,100.00
2024-11-17T10:24:53.023521,SkipHashEngine,2497,UPDATE,0.02,45.43,100.00
2024-11-17T10:24:53.023521,SkipHashEngine,2523,DELETE,0.02,39.95,99.33
2024-11-17T10:24:53.023521,SkipHashEngine,2429,RANGE_SELECT,0.10,251.34,100.00
2024-11-17T10:24:53.023521,SkipHashEngine,2533,EQUALS_SELECT,0.06,151.64,100.00
2024-11-17T10:24:53.023521,SkipHashEngine,2512,RANGE_UPDATE,0.48,1198.22,100.00
2024-11-17T10:24:53.023521,SkipHashEngine,2481,EQUALS_UPDATE,0.45,1120.56,100.00
2024-11-17T10:24:55.2846567,SkipHashEngine,3723,INSERT,0.06,241.55,100.00
2024-11-17T10:24:55.2846567,SkipHashEngine,3765,SIMPLE_SELECT,0.21,772.90,100.00
2024-11-17T10:24:55.2846567,SkipHashEngine,3741,UPDATE,0.02,57.31,100.00
2024-11-17T10:24:55.2846567,SkipHashEngine,3797,DELETE,0.01,56.81,99.05
2024-11-17T10:24:55.2846567,SkipHashEngine,3769,RANGE_SELECT,0.10,382.77,100.00
2024-11-17T10:24:55.2846567,SkipHashEngine,3730,EQUALS_SELECT,0.06,241.77,100.00
2024-11-17T10:24:55.2846567,SkipHashEngine,3787,RANGE_UPDATE,0.48,1833.55,100.00
2024-11-17T10:24:55.2846567,SkipHashEngine,3688,EQUALS_UPDATE,0.57,2093.65,100.00
2024-11-17T10:24:58.3405107,SkipHashEngine,5041,INSERT,0.07,330.95,100.00
2024-11-17T10:24:58.3405107,SkipHashEngine,4967,SIMPLE_SELECT,0.25,1221.39,100.00
2024-11-17T10:24:58.3405107,SkipHashEngine,5010,UPDATE,0.01,68.24,100.00
2024-11-17T10:24:58.3405107,SkipHashEngine,5069,DELETE,0.01,70.90,98.99
2024-11-17T10:24:58.3405107,SkipHashEngine,5001,RANGE_SELECT,0.11,529.91,100.00
2024-11-17T10:24:58.3405107,SkipHashEngine,4984,EQUALS_SELECT,0.07,360.00,100.00
2024-11-17T10:24:58.3405107,SkipHashEngine,5008,RANGE_UPDATE,0.52,2593.66,100.00
2024-11-17T10:24:58.3405107,SkipHashEngine,4920,EQUALS_UPDATE,0.72,3557.21,100.00
2024-11-17T10:25:02.7644575,SkipHashEngine,6315,INSERT,0.07,449.73,100.00
2024-11-17T10:25:02.7644575,SkipHashEngine,6186,SIMPLE_SELECT,0.30,1871.25,100.00
2024-11-17T10:25:02.7644575,SkipHashEngine,6234,UPDATE,0.01,79.82,100.00
2024-11-17T10:25:02.7644575,SkipHashEngine,6320,DELETE,0.01,82.44,99.08
2024-11-17T10:25:02.7644575,SkipHashEngine,6286,RANGE_SELECT,0.12,733.27,100.00
2024-11-17T10:25:02.7644575,SkipHashEngine,6221,EQUALS_SELECT,0.08,512.01,100.00
2024-11-17T10:25:02.7644575,SkipHashEngine,6244,RANGE_UPDATE,0.57,3583.74,100.00
2024-11-17T10:25:02.7644575,SkipHashEngine,6194,EQUALS_UPDATE,0.94,5838.46,100.00
2024-11-17T10:25:08.3042758,SkipHashEngine,7593,INSERT,0.08,584.15,100.00
2024-11-17T10:25:08.3042758,SkipHashEngine,7385,SIMPLE_SELECT,0.36,2659.27,100.00
2024-11-17T10:25:08.3042758,SkipHashEngine,7504,UPDATE,0.01,92.33,100.00
2024-11-17T10:25:08.3042758,SkipHashEngine,7625,DELETE,0.01,97.95,99.08
2024-11-17T10:25:08.3042758,SkipHashEngine,7538,RANGE_SELECT,0.13,963.64,100.00
2024-11-17T10:25:08.3042758,SkipHashEngine,7429,EQUALS_SELECT,0.09,695.84,100.00
2024-11-17T10:25:08.3042758,SkipHashEngine,7471,RANGE_UPDATE,0.64,4746.44,100.00
2024-11-17T10:25:08.3042758,SkipHashEngine,7455,EQUALS_UPDATE,1.19,8846.29,100.00
2024-11-17T10:25:15.3171284,SkipHashEngine,8924,INSERT,0.08,746.14,100.00
2024-11-17T10:25:15.3171284,SkipHashEngine,8660,SIMPLE_SELECT,0.43,3745.55,100.00
2024-11-17T10:25:15.3171284,SkipHashEngine,8792,UPDATE,0.01,108.12,100.00
2024-11-17T10:25:15.3171284,SkipHashEngine,8884,DELETE,0.01,113.84,99.04
