Timestamp,EngineType,QueryCount,QueryType,AverageExecutionTime,TotalExecutionTime,SuccessRate
2024-11-16T22:55:07.546738,SkipHashEngine,1253,INSERT,0.10,120.32,100.00
2024-11-16T22:55:07.546738,SkipHashEngine,1207,SIMPLE_SELECT,0.18,211.95,100.00
2024-11-16T22:55:07.546738,SkipHashEngine,1240,UPDATE,0.03,37.48,100.00
2024-11-16T22:55:07.546738,SkipHashEngine,1284,DELETE,0.02,29.38,99.45
2024-11-16T22:55:07.546738,SkipHashEngine,1240,RANGE_SELECT,0.13,163.15,100.00
2024-11-16T22:55:07.546738,SkipHashEngine,1269,EQUALS_SELECT,0.06,76.47,100.00
2024-11-16T22:55:07.546738,SkipHashEngine,1272,RANGE_UPDATE,0.50,641.93,100.00
2024-11-16T22:55:07.546738,SkipHashEngine,1235,EQUALS_UPDATE,0.39,476.80,100.00
2024-11-16T22:55:09.2717939,SkipHashEngine,2516,INSERT,0.07,184.98,100.00
2024-11-16T22:55:09.2717939,SkipHashEngine,2509,SIMPLE_SELECT,0.17,435.62,100.00
2024-11-16T22:55:09.2717939,SkipHashEngine,2497,UPDATE,0.02,49.27,100.00
2024-11-16T22:55:09.2717939,SkipHashEngine,2523,DELETE,0.02,43.26,99.33
2024-11-16T22:55:09.2717939,SkipHashEngine,2429,RANGE_SELECT,0.11,263.56,100.00
2024-11-16T22:55:09.2717939,SkipHashEngine,2533,EQUALS_SELECT,0.06,149.31,100.00
2024-11-16T22:55:09.2717939,SkipHashEngine,2512,RANGE_UPDATE,0.48,1207.15,100.00
2024-11-16T22:55:09.2717939,SkipHashEngine,2481,EQUALS_UPDATE,0.46,1139.13,100.00
2024-11-16T22:55:11.6799818,SkipHashEngine,3723,INSERT,0.07,255.42,100.00
2024-11-16T22:55:11.6799818,SkipHashEngine,3765,SIMPLE_SELECT,0.20,767.36,100.00
2024-11-16T22:55:11.6799818,SkipHashEngine,3741,UPDATE,0.02,60.26,100.00
2024-11-16T22:55:11.6799818,SkipHashEngine,3797,DELETE,0.02,61.18,99.05
2024-11-16T22:55:11.6799818,SkipHashEngine,3769,RANGE_SELECT,0.11,402.04,100.00
2024-11-16T22:55:11.6799818,SkipHashEngine,3730,EQUALS_SELECT,0.07,246.68,100.00
2024-11-16T22:55:11.6799818,SkipHashEngine,3787,RANGE_UPDATE,0.50,1887.07,100.00
2024-11-16T22:55:11.6799818,SkipHashEngine,3688,EQUALS_UPDATE,0.60,2195.78,100.00
2024-11-16T22:55:15.0295051,SkipHashEngine,5041,INSERT,0.07,353.80,100.00
2024-11-16T22:55:15.0295051,SkipHashEngine,4967,SIMPLE_SELECT,0.25,1237.39,100.00
2024-11-16T22:55:15.0295051,SkipHashEngine,5010,UPDATE,0.01,71.36,100.00
2024-11-16T22:55:15.0295051,SkipHashEngine,5069,DELETE,0.02,76.44,98.99
2024-11-16T22:55:15.0295051,SkipHashEngine,5001,RANGE_SELECT,0.11,554.62,100.00
2024-11-16T22:55:15.0295051,SkipHashEngine,4984,EQUALS_SELECT,0.07,370.76,100.00
2024-11-16T22:55:15.0295051,SkipHashEngine,5008,RANGE_UPDATE,0.54,2723.97,100.00
2024-11-16T22:55:15.0295051,SkipHashEngine,4920,EQUALS_UPDATE,0.78,3832.68,100.00
2024-11-16T22:55:19.6023521,SkipHashEngine,6315,INSERT,0.07,464.37,100.00
2024-11-16T22:55:19.6023521,SkipHashEngine,6186,SIMPLE_SELECT,0.30,1848.61,100.00
2024-11-16T22:55:19.6023521,SkipHashEngine,6234,UPDATE,0.01,82.17,100.00
2024-11-16T22:55:19.6023521,SkipHashEngine,6320,DELETE,0.01,87.52,99.08
2024-11-16T22:55:19.6023521,SkipHashEngine,6286,RANGE_SELECT,0.12,744.97,100.00
2024-11-16T22:55:19.6023521,SkipHashEngine,6221,EQUALS_SELECT,0.08,521.15,100.00
2024-11-16T22:55:19.6023521,SkipHashEngine,6244,RANGE_UPDATE,0.60,3747.57,100.00
2024-11-16T22:55:19.6023521,SkipHashEngine,6194,EQUALS_UPDATE,1.02,6292.89,100.00
2024-11-16T22:55:25.3919398,SkipHashEngine,7593,INSERT,0.08,594.48,100.00
2024-11-16T22:55:25.3919398,SkipHashEngine,7385,SIMPLE_SELECT,0.35,2594.44,100.00
2024-11-16T22:55:25.3919398,SkipHashEngine,7504,UPDATE,0.01,93.69,100.00
2024-11-16T22:55:25.3919398,SkipHashEngine,7625,DELETE,0.01,101.44,99.08
2024-11-16T22:55:25.3919398,SkipHashEngine,7538,RANGE_SELECT,0.13,967.93,100.00
2024-11-16T22:55:25.3919398,SkipHashEngine,7429,EQUALS_SELECT,0.09,697.31,100.00
2024-11-16T22:55:25.3919398,SkipHashEngine,7471,RANGE_UPDATE,0.67,4975.92,100.00
2024-11-16T22:55:25.3919398,SkipHashEngine,7455,EQUALS_UPDATE,1.28,9548.67,100.00
2024-11-16T22:55:32.66066,SkipHashEngine,8924,INSERT,0.08,749.91,100.00
2024-11-16T22:55:32.66066,SkipHashEngine,8660,SIMPLE_SELECT,0.42,3603.19,100.00
2024-11-16T22:55:32.66066,SkipHashEngine,8792,UPDATE,0.01,106.62,100.00
2024-11-16T22:55:32.66066,SkipHashEngine,8884,DELETE,0.01,117.06,99.04
2024-11-16T22:55:32.66066,SkipHashEngine,8724,RANGE_SELECT,0.14,1231.50,100.00
