Timestamp,EngineType,QueryCount,QueryType,AverageExecutionTime,TotalExecutionTime,SuccessRate
2024-11-16T22:34:14.9867668,SkipHashEngine,1253,INSERT,0.06,73.42,100.00
2024-11-16T22:34:14.9867668,SkipHashEngine,1207,SIMPLE_SELECT,0.13,161.22,100.00
2024-11-16T22:34:14.9867668,SkipHashEngine,1240,UPDATE,0.02,29.89,100.00
2024-11-16T22:34:14.9867668,SkipHashEngine,1284,DELETE,0.02,19.65,99.45
2024-11-16T22:34:14.9867668,SkipHashEngine,1240,RANGE_SELECT,0.10,128.57,100.00
2024-11-16T22:34:14.9867668,SkipHashEngine,1269,EQUALS_SELECT,0.05,63.82,100.00
2024-11-16T22:34:14.9867668,SkipHashEngine,1272,RANGE_UPDATE,0.40,514.50,100.00
2024-11-16T22:34:14.9867668,SkipHashEngine,1235,EQUALS_UPDATE,0.29,358.12,100.00
2024-11-16T22:34:16.7572954,SkipHashEngine,2516,INSERT,0.06,144.99,100.00
2024-11-16T22:34:16.7572954,SkipHashEngine,2509,SIMPLE_SELECT,0.16,408.24,100.00
2024-11-16T22:34:16.7572954,SkipHashEngine,2497,UPDATE,0.02,43.08,100.00
2024-11-16T22:34:16.7572954,SkipHashEngine,2523,DELETE,0.01,33.24,99.33
2024-11-16T22:34:16.7572954,SkipHashEngine,2429,RANGE_SELECT,0.10,237.97,100.00
2024-11-16T22:34:16.7572954,SkipHashEngine,2533,EQUALS_SELECT,0.05,136.90,100.00
2024-11-16T22:34:16.7572954,SkipHashEngine,2512,RANGE_UPDATE,0.43,1077.04,100.00
2024-11-16T22:34:16.7572954,SkipHashEngine,2481,EQUALS_UPDATE,0.41,1026.17,100.00
2024-11-16T22:34:19.055397,SkipHashEngine,3723,INSERT,0.06,218.79,100.00
2024-11-16T22:34:19.055397,SkipHashEngine,3765,SIMPLE_SELECT,0.20,750.02,100.00
2024-11-16T22:34:19.055397,SkipHashEngine,3741,UPDATE,0.01,54.05,100.00
2024-11-16T22:34:19.055397,SkipHashEngine,3797,DELETE,0.01,50.59,99.05
2024-11-16T22:34:19.055397,SkipHashEngine,3769,RANGE_SELECT,0.10,368.45,100.00
2024-11-16T22:34:19.055397,SkipHashEngine,3730,EQUALS_SELECT,0.06,229.82,100.00
2024-11-16T22:34:19.055397,SkipHashEngine,3787,RANGE_UPDATE,0.45,1713.92,100.00
2024-11-16T22:34:19.055397,SkipHashEngine,3688,EQUALS_UPDATE,0.55,2016.35,100.00
2024-11-16T22:34:22.4022453,SkipHashEngine,5041,INSERT,0.06,323.19,100.00
2024-11-16T22:34:22.4022453,SkipHashEngine,4967,SIMPLE_SELECT,0.25,1257.11,100.00
2024-11-16T22:34:22.4022453,SkipHashEngine,5010,UPDATE,0.01,67.32,100.00
2024-11-16T22:34:22.4022453,SkipHashEngine,5069,DELETE,0.01,67.99,98.99
2024-11-16T22:34:22.4022453,SkipHashEngine,5001,RANGE_SELECT,0.11,529.75,100.00
2024-11-16T22:34:22.4022453,SkipHashEngine,4984,EQUALS_SELECT,0.07,355.84,100.00
2024-11-16T22:34:22.4022453,SkipHashEngine,5008,RANGE_UPDATE,0.51,2534.99,100.00
2024-11-16T22:34:22.4022453,SkipHashEngine,4920,EQUALS_UPDATE,0.73,3607.45,100.00
2024-11-16T22:34:27.124224,SkipHashEngine,6315,INSERT,0.07,444.47,100.00
2024-11-16T22:34:27.124224,SkipHashEngine,6186,SIMPLE_SELECT,0.31,1940.53,100.00
2024-11-16T22:34:27.124224,SkipHashEngine,6234,UPDATE,0.01,81.45,100.00
2024-11-16T22:34:27.124224,SkipHashEngine,6320,DELETE,0.01,80.75,99.08
2024-11-16T22:34:27.124224,SkipHashEngine,6286,RANGE_SELECT,0.12,746.63,100.00
2024-11-16T22:34:27.124224,SkipHashEngine,6221,EQUALS_SELECT,0.08,511.56,100.00
