Timestamp,EngineType,QueryCount,QueryType,AverageExecutionTime,TotalExecutionTime,SuccessRate
2024-11-17T01:02:07.82517,SkipLinkedListIndexedEngine,1253,INSERT,0.07,88.54,100.00
2024-11-17T01:02:07.82517,SkipLinkedListIndexedEngine,1207,SIMPLE_SELECT,0.10,121.21,100.00
2024-11-17T01:02:07.82517,SkipLinkedListIndexedEngine,1240,UPDATE,0.02,21.96,100.00
2024-11-17T01:02:07.82517,SkipLinkedListIndexedEngine,1284,DELETE,0.01,8.25,100.00
2024-11-17T01:02:07.82517,SkipLinkedListIndexedEngine,1240,RANGE_SELECT,0.30,371.08,100.00
2024-11-17T01:02:07.82517,SkipLinkedListIndexedEngine,1269,EQUALS_SELECT,0.06,77.71,100.00
2024-11-17T01:02:07.82517,SkipLinkedListIndexedEngine,1272,RANGE_UPDATE,9.71,12348.46,99.92
2024-11-17T01:02:07.82517,SkipLinkedListIndexedEngine,1235,EQUALS_UPDATE,0.06,77.63,100.00
2024-11-17T01:02:33.7073231,SkipLinkedListIndexedEngine,2516,INSERT,0.09,226.97,100.00
2024-11-17T01:02:33.7073231,SkipLinkedListIndexedEngine,2509,SIMPLE_SELECT,0.17,417.14,100.00
2024-11-17T01:02:33.7073231,SkipLinkedListIndexedEngine,2497,UPDATE,0.02,49.67,100.00
2024-11-17T01:02:33.7073231,SkipLinkedListIndexedEngine,2523,DELETE,0.01,18.06,100.00
2024-11-17T01:02:33.7073231,SkipLinkedListIndexedEngine,2429,RANGE_SELECT,0.48,1170.51,100.00
2024-11-17T01:02:33.7073231,SkipLinkedListIndexedEngine,2533,EQUALS_SELECT,0.08,214.46,100.00
2024-11-17T01:02:33.7073231,SkipLinkedListIndexedEngine,2512,RANGE_UPDATE,14.60,36683.21,91.68
2024-11-17T01:02:33.7073231,SkipLinkedListIndexedEngine,2481,EQUALS_UPDATE,0.09,212.44,100.00
2024-11-17T01:02:49.8469006,SkipLinkedListIndexedEngine,3723,INSERT,0.11,391.01,100.00
2024-11-17T01:02:49.8469006,SkipLinkedListIndexedEngine,3765,SIMPLE_SELECT,0.22,809.98,100.00
